"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-08-31","0.00","91","60"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-01","0.04","74","70"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-02","0.00","82","70"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-03","0.00","90","66"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-04","0.20","93","65"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-05","0.06","88","61"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-06","0.00","86","63"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-07","0.16","78","57"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-08","0.14","73","52"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-09","0.00","73","51"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-10","0.00","76","46"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-11","0.00","84","50"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-12","0.00","87","57"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-13","0.21","68","53"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-14","0.00","75","46"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-15","0.00","80","45"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-16","0.00","77","47"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-17","0.34","79","50"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-18","0.00","62","41"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-19","0.00","73","38"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-20","0.00","72","47"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-21","0.15","59","44"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-22","0.01","59","43"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-23","0.00","61","36"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-24","0.00","70","32"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-25","0.00","78","44"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-26","0.00","70","46"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-27","0.00","67","39"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-28","0.00","69","44"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-29","0.00","80","41"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-09-30","0.00","67","43"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-10-01","0.00","67","40"
